time/s	Ewe/V	<I>/mA	
2.905012137980666E+003	2.3374507E+000	-1.099098643016563E+001
2.920012138693128E+003	2.3366632E+000	-1.099105368963306E+001
2.935012139405590E+003	2.3360333E+000	-1.099133558417635E+001
2.950012140118051E+003	2.3353639E+000	-1.099122392557671E+001
2.965012140830513E+003	2.3346944E+000	-1.099115588485932E+001
2.980012141542975E+003	2.3341827E+000	-1.099126754269602E+001
2.995012142255437E+003	2.3335133E+000	-1.099101164989099E+001
3.010012142967898E+003	2.3330014E+000	-1.099098721713764E+001
3.025012143680360E+003	2.3323319E+000	-1.099080699686015E+001
3.040012144392822E+003	2.3316627E+000	-1.099078886827519E+001
3.055012145105284E+003	2.3309932E+000	-1.099097486438554E+001
3.070012145817745E+003	2.3304026E+000	-1.099093887831344E+001
3.085012146530207E+003	2.3296151E+000	-1.099101795711115E+001
3.100012147242669E+003	2.3289063E+000	-1.099093361962635E+001
3.115012147955131E+003	2.3283157E+000	-1.099080700181925E+001
3.130012148667593E+003	2.3275676E+000	-1.099082406902832E+001
3.145012149380054E+003	2.3269770E+000	-1.099089815604059E+001
3.160012150092516E+003	2.3263471E+000	-1.099090420093675E+001
3.175012150804978E+003	2.3255596E+000	-1.099087556006388E+001
3.190012151517440E+003	2.3250084E+000	-1.099093073698692E+001
3.205012152229901E+003	2.3244569E+000	-1.099091996707980E+001
3.220012152942363E+003	2.3237484E+000	-1.099101401589328E+001
3.235012153654825E+003	2.3231182E+000	-1.099076023490456E+001
3.250012154367287E+003	2.3223703E+000	-1.099081251354791E+001
3.265012155079748E+003	2.3217008E+000	-1.099099299831107E+001
3.280012155792210E+003	2.3210709E+000	-1.099109257067878E+001
3.295012156504672E+003	2.3203621E+000	-1.099095490779774E+001
3.310012157217134E+003	2.3196139E+000	-1.099100114065484E+001
3.325012157929596E+003	2.3188264E+000	-1.099092390346572E+001
3.340012158642057E+003	2.3181570E+000	-1.099094492053931E+001
3.355012159354519E+003	2.3175664E+000	-1.099086531861946E+001
3.370012160066981E+003	2.3169365E+000	-1.099082486935177E+001
3.385012160779443E+003	2.3161883E+000	-1.099104264964538E+001
3.400012161491904E+003	2.3155978E+000	-1.099093677247349E+001
3.415012162204366E+003	2.3150070E+000	-1.099081829421272E+001
3.430012162916828E+003	2.3142984E+000	-1.099094675909614E+001
3.445012163629290E+003	2.3136683E+000	-1.099096068591942E+001
3.460012164341751E+003	2.3128021E+000	-1.099100061715124E+001
3.475012165054213E+003	2.3120933E+000	-1.099096909325748E+001
3.490012165766675E+003	2.3115420E+000	-1.099094360586753E+001
3.505012166479137E+003	2.3109908E+000	-1.099115536428033E+001
3.520012167191599E+003	2.3104002E+000	-1.099100692398993E+001
3.535012167904060E+003	2.3097308E+000	-1.099117322049591E+001
3.550012168616522E+003	2.3091009E+000	-1.099102032603804E+001
3.565012169328984E+003	2.3084710E+000	-1.099093651854182E+001
3.580012170041446E+003	2.3078802E+000	-1.099099983501118E+001
3.595012170753907E+003	2.3071716E+000	-1.099084587727008E+001
3.610012171466369E+003	2.3067384E+000	-1.099076679478483E+001
3.625012172178831E+003	2.3060296E+000	-1.099073212516469E+001
3.640012172891293E+003	2.3054390E+000	-1.099076416887451E+001
3.655012173603754E+003	2.3047302E+000	-1.099073054295549E+001
3.670012174316216E+003	2.3041003E+000	-1.099082065792619E+001
3.685012175028678E+003	2.3035491E+000	-1.099061573583204E+001
3.700012175741140E+003	2.3028796E+000	-1.099045232717891E+001
3.715012176453602E+003	2.3023677E+000	-1.099050802251929E+001
3.730012177166063E+003	2.3016195E+000	-1.099062597791224E+001
3.745012177878525E+003	2.3010683E+000	-1.099073868720661E+001
3.760012178590987E+003	2.3003201E+000	-1.099055583364372E+001
3.775012179303449E+003	2.2996902E+000	-1.099056108610014E+001
3.790012180015910E+003	2.2990603E+000	-1.099054349195425E+001
3.805012180728372E+003	2.2982335E+000	-1.099048805423308E+001
3.820012181440834E+003	2.2977216E+000	-1.099065540473987E+001
3.835012182153296E+003	2.2970915E+000	-1.099075418860969E+001
3.850012182865758E+003	2.2964222E+000	-1.099066959261557E+001
3.865012183578219E+003	2.2955952E+000	-1.099067064687069E+001
3.880012184290681E+003	2.2950046E+000	-1.099064121648269E+001
3.895012185003143E+003	2.2944140E+000	-1.099081593075356E+001
3.910012185715605E+003	2.2937841E+000	-1.099081066710737E+001
3.925012186428066E+003	2.2932723E+000	-1.099075182731219E+001
3.940012187140528E+003	2.2925241E+000	-1.099064121660984E+001
3.955012187852990E+003	2.2918546E+000	-1.099077205677798E+001
3.970012188565452E+003	2.2912641E+000	-1.099084561532755E+001
3.985012189277913E+003	2.2907128E+000	-1.099089658832725E+001
4.000012189990375E+003	2.2900827E+000	-1.099080988636603E+001
4.015012190702837E+003	2.2893348E+000	-1.099096777845855E+001
4.030012191415299E+003	2.2887046E+000	-1.099072345715566E+001
4.045012192127761E+003	2.2881141E+000	-1.099085060940182E+001
4.060012192840222E+003	2.2874446E+000	-1.099081014640122E+001
4.075012193552684E+003	2.2868147E+000	-1.099079543336888E+001
4.090012194265146E+003	2.2863421E+000	-1.099085664387114E+001
4.105012194977608E+003	2.2856336E+000	-1.099066485959374E+001
4.120012195690069E+003	2.2850821E+000	-1.099059708730387E+001
4.135012196402531E+003	2.2844522E+000	-1.099078650519751E+001
4.150012197114993E+003	2.2837827E+000	-1.099084430243597E+001
4.165012197827455E+003	2.2833104E+000	-1.099094202976185E+001
4.180012198539916E+003	2.2825229E+000	-1.099092205702517E+001
4.195012199252378E+003	2.2818141E+000	-1.099074236686342E+001
4.210012199964840E+003	2.2811053E+000	-1.099080699240967E+001
4.225012200677302E+003	2.2804754E+000	-1.099080725842121E+001
4.240012201389764E+003	2.2797272E+000	-1.099083721078693E+001
4.255012202102225E+003	2.2790577E+000	-1.099063938097760E+001
4.270012202814687E+003	2.2783098E+000	-1.099061599841036E+001
4.285012203527149E+003	2.2774434E+000	-1.099078413461758E+001
4.300012204239611E+003	2.2766166E+000	-1.099073579210584E+001
4.315012204952072E+003	2.2759078E+000	-1.099053114365263E+001
4.330012205664534E+003	2.2750809E+000	-1.099053639560042E+001
4.345012206376996E+003	2.2742147E+000	-1.099028024479471E+001
4.360012207089458E+003	2.2734272E+000	-1.099037429398967E+001
4.375012207801919E+003	2.2726791E+000	-1.099030178867797E+001
4.390012208514381E+003	2.2718916E+000	-1.099044575000536E+001
4.405012209226843E+003	2.2711828E+000	-1.099051143578308E+001
4.420012209939305E+003	2.2703953E+000	-1.099057737422091E+001
4.435012210651767E+003	2.2696867E+000	-1.099065593053228E+001
4.450012211364228E+003	2.2688203E+000	-1.099064384938661E+001
4.465012212076690E+003	2.2680724E+000	-1.099092469120067E+001
4.480012212789152E+003	2.2674029E+000	-1.099102032298629E+001
4.495012213501614E+003	2.2668910E+000	-1.099056502426625E+001
4.510012214214075E+003	2.2661428E+000	-1.099066512318931E+001
4.525012214926537E+003	2.2653947E+000	-1.099070033284340E+001
4.540012215638999E+003	2.2647254E+000	-1.099072450594304E+001
4.555012216351461E+003	2.2639773E+000	-1.099069822865649E+001
4.570012217063922E+003	2.2631111E+000	-1.099088135001112E+001
4.585012217776384E+003	2.2625599E+000	-1.099088003330484E+001
4.600012218488846E+003	2.2616935E+000	-1.099087740726737E+001
4.615012219201308E+003	2.2608273E+000	-1.099091445001056E+001
4.630012219913770E+003	2.2599218E+000	-1.099077074223337E+001
4.645012220626231E+003	2.2593703E+000	-1.099067563293409E+001
4.660012221338693E+003	2.2585042E+000	-1.099054480700749E+001
4.675012222051155E+003	2.2577167E+000	-1.099059051280060E+001
4.690012222763617E+003	2.2569292E+000	-1.099052824766176E+001
4.705012223476078E+003	2.2561417E+000	-1.099067511146500E+001
4.720012224188540E+003	2.2554328E+000	-1.099068798441463E+001
4.735012224901002E+003	2.2546060E+000	-1.099056765348264E+001
4.750012225613464E+003	2.2538974E+000	-1.099047360136308E+001
4.765012226325925E+003	2.2531493E+000	-1.099057449437892E+001
4.780012227038387E+003	2.2522829E+000	-1.099053062180207E+001
4.795012227750849E+003	2.2513773E+000	-1.099044391475459E+001
4.810012228463311E+003	2.2506292E+000	-1.099055399559551E+001
4.825012229175773E+003	2.2498417E+000	-1.099067720954840E+001
4.840012229888234E+003	2.2490149E+000	-1.099053797145178E+001
